id_customer,title,fullname,age,address,postal_code,city,country,phone_number,email,credit_card
1,mr,Karolina Flatley,6,924 Shasta Point,45,Bylym,Russia,883-112-9193,kflatley0@wikia.com,4405603543286383
2,mr,Donnajean Giacoppoli,58,2 Roth Court,58,Kilkís,Greece,172-843-7636,dgiacoppoli1@blog.com,372301266911272
3,ms,Elfreda Imesen,27,9 Melby Pass,5,Pryamitsyno,Russia,945-422-9234,eimesen2@webs.com,375298879095575
4,doctor,Matti Innot,20,77 4th Center,47,Khiv,Russia,942-234-6479,minnot3@etsy.com,670977234603087770
5,ms,Alley Ingerfield,19,2210 Upham Drive,12,Xixi,China,828-983-0894,aingerfield4@so-net.ne.jp,3535925742740554
6,ms,Kathlin Smy,10,02217 Messerschmidt Alley,45,Aguiar da Beira,Portugal,342-418-6783,ksmy5@printfriendly.com,3562764576145960
7,doctor,Brnaby Pattisson,7,07 Donald Park,66,Huangge,China,760-498-2985,bpattisson6@google.nl,3572086592941778
8,ms,Felix Purdon,20,34583 Village Parkway,59,Āgaro,Ethiopia,913-342-4588,fpurdon7@gizmodo.com,3540116448970371
9,ms,Janis Neligan,63,52 Holmberg Way,84,San Miguel,Philippines,121-820-1679,jneligan8@wsj.com,3562330781546028
10,mr,Floyd Serris,63,9 Eastwood Drive,32,Saint-Germain-en-Laye,France,376-870-2367,fserris9@pbs.org,3544467989736069
11,ms,Laina Duggan,22,0 Muir Drive,27,Dapaong,Togo,360-455-5219,lduggana@sourceforge.net,67596980559843919
12,mr,Carey Ziebart,64,3229 Scott Place,63,Lingbeizhou,China,655-479-8124,cziebartb@google.ca,3560180209319512
13,mr,Brooks Espadero,58,551 Laurel Junction,40,Palestina,Colombia,556-683-1586,bespaderoc@youku.com,3539331712591083
14,doctor,Ludovico Champneys,85,44860 Golden Leaf Pass,77,Roche-à-Bateau,Haiti,114-181-6968,lchampneysd@domainmarket.com,3580940044941184
15,ms,Clarette Schrei,74,128 Cody Center,2,Wanurian,Indonesia,917-836-5224,cschreie@go.com,374622284347084
