id_reservation,id_customer,credit_card,total_cost
1,2,372301266911272,5
1,1,4405603543286383,1
2,2,372301266911272,2
3,3,375298879095575,3
4,4,670977234603087770,4
5,5,3535925742740554,5
6,6,3562764576145960,6
7,7,3572086592941778,7
8,8,3540116448970371,8
9,9,3562330781546028,9
10,10,3544467989736069,10
11,11,67596980559843919,11
12,12,3560180209319512,12
13,13,3539331712591083,13
14,14,3580940044941184,14
15,15,374622284347084,15
16,16,3544648858396792,16
17,17,3553552119438575,17
18,18,3588126534165128,18
19,19,3589047895976367,19
20,20,50381573214822561,20
21,21,675941135940888956,21
22,22,3558266782298092,22
23,23,3572302255707566,23
24,24,3572978377191274,24
25,25,633314576138607898,25
26,26,3580368005334027,26
27,27,4936303919069831135,27
28,28,3560062455828208,28
29,29,3568564561003735,29
30,30,3536755522875711,30
31,31,4405637778145443,31
32,32,5100179504352279,32
33,33,5602241267511302,33
34,34,3585551305853805,34
35,35,3544532008147166,35
36,36,5048372588677498,36
37,37,5007660961226100,37
38,38,564182497094677732,38
39,39,4936759660627755,39
40,40,3547715464999025,40
41,41,5007669784965083,41
42,42,30456430387389,42
43,43,3577069886141219,43
44,44,56022375929772673,44
45,45,3549439436549507,45
46,46,3564361224102903,46
47,47,3581758618377349,47
48,48,30524275434564,48
49,49,060422478325821959,49
50,50,4017952346377,50
51,51,5602254724671155,51
52,52,3565502764067035,52
53,53,3579262420169121,53
54,54,341190987359079,54
55,55,3541181281679231,55
56,56,201893861940612,56
57,57,30384249461338,57
58,58,5602226735425714,58
59,59,5108751100422573,59
60,60,4913936810440894,60
61,61,201550883989585,61
62,62,5018553783212936,62
63,63,5555252975999769,63
64,64,3576805814611356,64
65,65,3538753617615611,65
66,66,30342690211503,66
67,67,4844889819352285,67
68,68,5602230698104290,68
69,69,3556868499500710,69
70,70,5353184280108741,70
71,71,3555306096353622,71
72,72,4903837684272838484,72
73,73,3566803951186508,73
74,74,3581773149779921,74
75,75,3544672766671237,75
76,76,564182143608149384,76
77,77,3588212687426606,77
78,78,5578541672345901,78
79,79,5602240900240626,79
80,80,3543929997549199,80
81,81,6389600187556050,81
82,82,6763127818505906,82
83,83,3558370260460586,83
84,84,3547437791438698,84
85,85,3531579897478082,85
86,86,370837875439223,86
87,87,5486581632498805,87
88,88,3583870693666112,88
89,89,3552264943154581,89
90,90,3579724142556414,90
91,91,3543379393661067,91
92,92,3537032984139286,92
93,93,3534224940268712,93
94,94,6767239362867529,94
95,95,201468186175325,95
96,96,5489789474700355,96
97,97,4911692060146424,97
98,98,3546181338306791,98
99,99,372301809123104,99
100,100,201876935639211,100
101,101,374622165192963,101
102,102,3578822856180552,102
103,103,201712113817230,103
104,104,3565381949480706,104
105,105,3531457670751514,105
106,106,50181383699595852,106
107,107,36203072675927,107
108,108,3543613085961421,108
109,109,30133678856736,109
110,110,3532209517061998,110
111,111,3549310632767310,111
112,112,50383233365567824,112
113,113,3562201201106166,113
114,114,3534691381895791,114
115,115,5007668333190367,115
116,116,3562656382647074,116
117,117,4905316314635901424,117
118,118,3531784725129432,118
119,119,3541420301889390,119
120,120,3555713844788621,120
121,121,5602257677225725855,121
122,122,633431356617349017,122
123,123,4936488090228626027,123
